               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12137,            0.031378,            0.053699,           0.0012591,             0.15341,           0.0010856,          0.00033665,             0.12891,            0.023935,            0.056168,                 0.1,                   0,                   0
                   1,             0.11542,            0.031986,            0.053777,           0.0013116,             0.16948,           0.0010222,          0.00035819,             0.12868,            0.024314,            0.055725,              0.0991,          9.9505e-05,          9.9505e-05
                   2,             0.11996,            0.029128,            0.051115,           0.0014715,             0.19805,           0.0011568,          0.00041993,             0.12756,            0.024314,            0.055298,            0.098198,          0.00019802,          0.00019802
                   3,              0.1234,            0.030898,            0.054882,           0.0016344,             0.22662,           0.0013331,          0.00050112,             0.12573,            0.024341,             0.05455,            0.097296,          0.00029554,          0.00029554
                   4,             0.11691,            0.030099,            0.053768,           0.0016439,             0.22662,            0.001376,          0.00058468,             0.12323,            0.024425,            0.053772,            0.096392,          0.00039208,          0.00039208
                   5,             0.11327,            0.033236,            0.053633,           0.0017424,             0.24481,           0.0015604,          0.00064395,             0.12015,            0.024431,            0.052612,            0.095488,          0.00048762,          0.00048762
                   6,             0.10663,            0.032078,            0.050932,           0.0017908,             0.27906,           0.0017004,          0.00066086,             0.11659,            0.024409,            0.051544,            0.094582,          0.00058218,          0.00058218
                   7,             0.10836,              0.0329,            0.050333,           0.0019865,             0.29156,           0.0020603,          0.00065915,             0.11191,            0.024372,              0.0504,            0.093676,          0.00067574,          0.00067574
                   8,             0.10489,            0.035845,            0.049349,           0.0019881,             0.29156,           0.0021942,          0.00065981,             0.10567,            0.024355,            0.049355,            0.092768,          0.00076832,          0.00076832
                   9,             0.10028,            0.035735,            0.048056,           0.0022745,             0.34307,           0.0024375,          0.00057577,             0.09664,            0.024553,            0.048676,             0.09186,          0.00085991,          0.00085991
                  10,            0.095552,            0.034249,            0.050189,           0.0028625,             0.40049,           0.0039762,          0.00069487,            0.085185,            0.024594,            0.048141,            0.090951,           0.0009505,           0.0009505
                  11,            0.098253,            0.027959,            0.049726,           0.0026911,             0.36153,            0.004043,          0.00090627,            0.075802,            0.024707,            0.047478,             0.09004,           0.0010401,           0.0010401
                  12,            0.089834,            0.036392,             0.04892,            0.003363,             0.45617,           0.0058427,           0.0012665,            0.069589,            0.024739,            0.046921,            0.089129,           0.0011287,           0.0011287
                  13,              0.0848,            0.032392,            0.045699,           0.0037602,             0.49935,           0.0086477,           0.0025147,            0.064221,            0.025084,            0.045906,            0.088216,           0.0012163,           0.0012163
                  14,            0.082987,            0.034293,            0.045016,           0.0041724,             0.56429,            0.012788,           0.0040403,            0.060787,            0.024844,             0.04496,            0.087303,            0.001303,            0.001303
                  15,            0.078987,            0.039227,            0.047771,           0.0047876,             0.64643,            0.038478,            0.010483,            0.059205,            0.024385,            0.044403,            0.086389,           0.0013886,           0.0013886
                  16,            0.082002,            0.034278,            0.043909,           0.0051467,             0.74491,            0.059876,            0.015111,            0.056557,            0.024449,             0.04306,            0.085473,           0.0014733,           0.0014733
                  17,            0.067917,             0.03305,            0.045089,           0.0051467,             0.74491,            0.059876,            0.015111,            0.056557,            0.024449,             0.04306,            0.084557,           0.0015569,           0.0015569
                  18,            0.074211,            0.036191,            0.044571,           0.0056433,             0.90417,             0.11968,            0.032486,            0.056088,            0.024016,            0.042107,             0.08364,           0.0016396,           0.0016396
                  19,             0.07473,            0.033098,            0.046196,           0.0056433,             0.90417,             0.11968,            0.032486,            0.056088,            0.024016,            0.042107,            0.082721,           0.0017213,           0.0017213
                  20,            0.078572,            0.033369,            0.044853,           0.0056491,             0.95325,            0.081891,            0.026417,            0.055779,            0.023605,            0.041443,            0.081802,            0.001802,            0.001802
                  21,            0.067437,             0.03795,            0.042655,           0.0056491,             0.95325,            0.081891,            0.026417,            0.055779,            0.023605,            0.041443,            0.080882,           0.0018817,           0.0018817
                  22,            0.071523,             0.03736,            0.042587,           0.0054428,              0.8881,             0.13208,            0.040107,            0.057018,            0.022959,            0.040588,             0.07996,           0.0019604,           0.0019604
                  23,            0.063915,            0.032604,            0.044129,           0.0054428,              0.8881,             0.13208,            0.040107,            0.057018,            0.022959,            0.040588,            0.079038,           0.0020381,           0.0020381
                  24,            0.068951,            0.031037,            0.042146,           0.0057375,              0.9875,             0.19463,            0.072202,            0.061118,            0.022616,             0.03997,            0.078115,           0.0021149,           0.0021149
                  25,            0.068037,            0.029067,            0.044238,           0.0057375,              0.9875,             0.19463,            0.072202,            0.061118,            0.022616,             0.03997,            0.077191,           0.0021906,           0.0021906
                  26,             0.06318,            0.041206,            0.041638,            0.016575,              0.9375,             0.13219,            0.043431,            0.060156,            0.021872,            0.039188,            0.076265,           0.0022654,           0.0022654
                  27,            0.052956,            0.025348,            0.041478,            0.016575,              0.9375,             0.13219,            0.043431,            0.060156,            0.021872,            0.039188,            0.075339,           0.0023391,           0.0023391
                  28,            0.073812,            0.025123,            0.046022,            0.051949,             0.69075,             0.14444,            0.053842,            0.061923,            0.020989,            0.038765,            0.074412,           0.0024119,           0.0024119
                  29,            0.067138,            0.028926,            0.040774,            0.051949,             0.69075,             0.14444,            0.053842,            0.061923,            0.020989,            0.038765,            0.073484,           0.0024837,           0.0024837
                  30,            0.074167,            0.025833,             0.04543,             0.11618,             0.35979,             0.22729,            0.090699,            0.060223,            0.020903,            0.039009,            0.072554,           0.0025545,           0.0025545
                  31,            0.061243,            0.022571,            0.043457,             0.11618,             0.35979,             0.22729,            0.090699,            0.060223,            0.020903,            0.039009,            0.071624,           0.0026243,           0.0026243
                  32,             0.06399,            0.027591,            0.039877,             0.10232,             0.43837,             0.23667,            0.096021,            0.060553,            0.020875,            0.039085,            0.070693,           0.0026931,           0.0026931
                  33,            0.068553,             0.02721,             0.04216,             0.10232,             0.43837,             0.23667,            0.096021,            0.060553,            0.020875,            0.039085,            0.069761,           0.0027609,           0.0027609
                  34,            0.066446,            0.036995,            0.037871,             0.23487,            0.085227,            0.081373,            0.023425,            0.054262,            0.020176,            0.038719,            0.068828,           0.0028278,           0.0028278
                  35,            0.070827,             0.02663,            0.041024,             0.23487,            0.085227,            0.081373,            0.023425,            0.054262,            0.020176,            0.038719,            0.067894,           0.0028936,           0.0028936
                  36,            0.064197,            0.023414,            0.036286,              0.5306,             0.13707,             0.27628,             0.10675,            0.047715,            0.019782,            0.037201,            0.066958,           0.0029585,           0.0029585
