               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12286,            0.031569,            0.054436,           0.0013289,             0.25509,           0.0013525,          0.00029372,             0.13278,            0.024483,            0.062943,                 0.1,                   0,                   0
                   1,             0.11834,            0.030951,            0.053771,          0.00088389,             0.19167,          0.00081963,          9.8848e-05,             0.13401,            0.024956,            0.060791,              0.0991,          9.9505e-05,          9.9505e-05
                   2,             0.12268,            0.029107,            0.051957,           0.0004888,            0.091667,           0.0004337,          7.6514e-05,             0.13317,            0.024929,            0.060242,            0.098198,          0.00019802,          0.00019802
                   3,             0.12122,            0.031388,            0.053574,          0.00049174,            0.091667,          0.00044854,          7.9109e-05,             0.13166,            0.024918,            0.059296,            0.097296,          0.00029554,          0.00029554
                   4,             0.11885,            0.029398,            0.053796,          0.00077321,             0.12024,          0.00061241,          0.00010698,             0.12953,            0.024996,            0.058395,            0.096392,          0.00039208,          0.00039208
                   5,             0.11654,            0.032182,            0.052381,          0.00099269,             0.13274,          0.00076691,          0.00011553,             0.12578,            0.025167,            0.057205,            0.095488,          0.00048762,          0.00048762
                   6,             0.10895,            0.031421,            0.051825,           0.0013987,             0.15774,           0.0039305,           0.0010174,             0.12051,            0.025251,            0.056244,            0.094582,          0.00058218,          0.00058218
                   7,             0.11081,            0.032201,            0.051767,           0.0016851,             0.17024,           0.0060629,           0.0020295,              0.1143,            0.025249,            0.055481,            0.093676,          0.00067574,          0.00067574
                   8,             0.10478,            0.034978,            0.050819,           0.0022417,             0.21342,           0.0067863,           0.0026551,             0.10486,             0.02508,            0.054703,            0.092768,          0.00076832,          0.00076832
                   9,             0.10017,            0.035173,            0.048916,            0.002794,              0.2566,           0.0072702,           0.0043108,            0.091803,            0.025127,            0.055161,             0.09186,          0.00085991,          0.00085991
                  10,            0.097925,            0.032288,            0.046123,           0.0033094,             0.36001,            0.007343,           0.0034458,            0.077709,            0.025097,            0.055557,            0.090951,           0.0009505,           0.0009505
                  11,            0.097111,            0.028027,            0.052612,           0.0032197,             0.34751,           0.0070811,             0.00219,            0.069269,            0.025335,             0.05484,             0.09004,           0.0010401,           0.0010401
                  12,             0.09405,            0.034439,            0.046635,           0.0036074,             0.42668,            0.008247,           0.0022368,             0.06458,            0.025484,            0.053818,            0.089129,           0.0011287,           0.0011287
                  13,            0.084782,            0.032007,            0.048713,           0.0037963,             0.49334,           0.0071868,           0.0021485,            0.062612,            0.025345,            0.052673,            0.088216,           0.0012163,           0.0012163
                  14,            0.083971,             0.03342,            0.048339,           0.0050854,             0.67489,            0.012125,           0.0030709,            0.061327,            0.024895,            0.050278,            0.087303,            0.001303,            0.001303
                  15,            0.080945,            0.037788,            0.044212,           0.0048253,             0.67603,             0.01302,           0.0041584,            0.060985,            0.024364,            0.048874,            0.086389,           0.0013886,           0.0013886
                  16,            0.083079,            0.034041,            0.047717,           0.0052663,             0.76034,            0.023269,           0.0059831,            0.060209,             0.02402,            0.046402,            0.085473,           0.0014733,           0.0014733
                  17,             0.06928,            0.032398,            0.045411,           0.0052663,             0.76034,            0.023269,           0.0059831,            0.060209,             0.02402,            0.046402,            0.084557,           0.0015569,           0.0015569
                  18,             0.07607,            0.035545,            0.043585,           0.0061901,             0.87673,            0.039335,           0.0092472,            0.060141,            0.023415,            0.044662,             0.08364,           0.0016396,           0.0016396
                  19,             0.07933,            0.031936,            0.045637,           0.0061901,             0.87673,            0.039335,           0.0092472,            0.060141,            0.023415,            0.044662,            0.082721,           0.0017213,           0.0017213
                  20,            0.081869,             0.03237,            0.046753,           0.0065669,             0.94286,            0.068033,            0.016285,            0.056563,            0.023643,            0.042259,            0.081802,            0.001802,            0.001802
                  21,            0.072298,            0.035689,            0.045131,           0.0065669,             0.94286,            0.068033,            0.016285,            0.056563,            0.023643,            0.042259,            0.080882,           0.0018817,           0.0018817
                  22,            0.074018,            0.036163,             0.04442,           0.0064297,             0.90952,            0.092887,            0.023375,             0.05486,            0.023348,            0.039879,             0.07996,           0.0019604,           0.0019604
                  23,            0.061425,              0.0323,            0.042929,           0.0064297,             0.90952,            0.092887,            0.023375,             0.05486,            0.023348,            0.039879,            0.079038,           0.0020381,           0.0020381
                  24,            0.068923,             0.03091,            0.044021,           0.0068235,             0.97143,             0.15485,            0.039061,            0.054298,            0.022995,            0.038025,            0.078115,           0.0021149,           0.0021149
                  25,            0.067157,            0.029106,             0.04624,           0.0068235,             0.97143,             0.15485,            0.039061,            0.054298,            0.022995,            0.038025,            0.077191,           0.0021906,           0.0021906
                  26,            0.067658,            0.039462,            0.042448,           0.0064921,             0.97143,             0.20577,            0.058535,            0.055005,            0.022362,            0.037395,            0.076265,           0.0022654,           0.0022654
                  27,            0.053809,            0.025337,             0.04273,           0.0064921,             0.97143,             0.20577,            0.058535,            0.055005,            0.022362,            0.037395,            0.075339,           0.0023391,           0.0023391
