               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093137,            0.035948,            0.048107,             0.15795,             0.45795,              0.2203,            0.065518,            0.047302,            0.022283,            0.049072,              0.0748,              0.0028,              0.0028
                   1,             0.06832,            0.030173,            0.040781,             0.13222,             0.59399,             0.24313,             0.10008,            0.063017,            0.014462,            0.035782,            0.048644,           0.0056436,           0.0056436
                   2,            0.059905,            0.024557,            0.034398,             0.72164,              0.5402,             0.51264,             0.24175,            0.052323,           0.0096655,            0.032104,             0.02243,           0.0084297,           0.0084297
                   3,            0.059786,            0.021329,            0.028574,             0.28311,             0.82845,             0.60737,             0.25162,            0.047875,           0.0089219,            0.030243,            0.009703,            0.009703,            0.009703
                   4,            0.054284,            0.019171,            0.023226,             0.48568,             0.68531,             0.69101,             0.35258,             0.03977,            0.008775,            0.026218,            0.009703,            0.009703,            0.009703
                   5,            0.051069,            0.018343,            0.017314,             0.70876,             0.89482,             0.85661,             0.47212,            0.034837,           0.0084743,           0.0088294,            0.009604,            0.009604,            0.009604
                   6,            0.047623,            0.016333,            0.014385,             0.75199,             0.81593,             0.87767,              0.5257,            0.035163,           0.0074441,           0.0093398,            0.009505,            0.009505,            0.009505
                   7,            0.044933,            0.016604,            0.013961,              0.6424,             0.89659,             0.81881,             0.39244,            0.036921,           0.0076091,           0.0050147,            0.009406,            0.009406,            0.009406
                   8,            0.042226,            0.016816,            0.010142,             0.67845,             0.83947,              0.8054,              0.5095,            0.033787,           0.0075631,           0.0037506,            0.009307,            0.009307,            0.009307
                   9,            0.039499,            0.015303,           0.0097591,             0.57224,             0.89479,             0.83521,             0.47654,            0.039326,           0.0073812,           0.0042396,            0.009208,            0.009208,            0.009208
                  10,            0.038577,            0.014463,           0.0078982,              0.8279,             0.93461,             0.93758,             0.67983,            0.028082,           0.0071983,           0.0037565,            0.009109,            0.009109,            0.009109
                  11,            0.036036,              0.0152,           0.0072335,               0.838,             0.83155,             0.95011,              0.6397,            0.033788,           0.0074501,           0.0028585,             0.00901,             0.00901,             0.00901
                  12,            0.036301,            0.014345,           0.0067994,             0.71374,             0.95043,             0.95871,             0.70138,            0.024603,           0.0063093,            0.002525,            0.008911,            0.008911,            0.008911
                  13,            0.033872,            0.015134,           0.0058705,             0.91305,             0.98677,             0.97891,             0.68694,            0.023299,           0.0063045,           0.0028912,            0.008812,            0.008812,            0.008812
                  14,            0.032491,            0.013561,           0.0070524,             0.80018,             0.95781,             0.95458,             0.72176,            0.024212,            0.006202,           0.0024416,            0.008713,            0.008713,            0.008713
                  15,            0.032945,            0.013634,           0.0053901,             0.93514,             0.96822,              0.9905,             0.72789,            0.020963,           0.0065689,           0.0024006,            0.008614,            0.008614,            0.008614
                  16,            0.031751,            0.014635,           0.0055561,             0.91507,             0.91877,             0.98406,             0.75725,             0.01587,           0.0061369,           0.0020976,            0.008515,            0.008515,            0.008515
                  17,            0.031593,             0.01408,           0.0047823,             0.90596,                   1,              0.9845,             0.72956,            0.016786,           0.0060506,            0.002816,            0.008416,            0.008416,            0.008416
                  18,            0.030604,             0.01438,           0.0048465,             0.95506,             0.93802,             0.98586,             0.77004,            0.018374,           0.0059228,           0.0022743,            0.008317,            0.008317,            0.008317
                  19,            0.029113,            0.013307,           0.0048333,              0.8624,             0.92589,             0.95474,             0.75758,            0.019553,           0.0059385,           0.0018611,            0.008218,            0.008218,            0.008218
                  20,            0.029007,            0.013799,           0.0051404,             0.91305,             0.99851,             0.98241,             0.73886,            0.015859,           0.0063324,           0.0022868,            0.008119,            0.008119,            0.008119
                  21,            0.029006,            0.014403,           0.0045628,             0.94687,             0.94545,             0.98416,             0.79642,            0.015122,           0.0059166,           0.0018827,             0.00802,             0.00802,             0.00802
                  22,            0.028413,            0.013432,           0.0041436,             0.95301,             0.99573,               0.992,             0.77521,            0.018926,           0.0054269,           0.0017743,            0.007921,            0.007921,            0.007921
                  23,            0.028926,              0.0131,            0.003937,             0.91449,             0.98182,             0.99114,              0.7323,            0.019083,           0.0058351,           0.0019165,            0.007822,            0.007822,            0.007822
                  24,            0.028647,            0.012947,           0.0038736,             0.97676,             0.96575,             0.98865,             0.76526,            0.017917,           0.0054126,            0.001682,            0.007723,            0.007723,            0.007723
                  25,            0.027311,             0.01318,           0.0036475,             0.96084,             0.98182,             0.98415,              0.7915,             0.01507,           0.0054321,           0.0016242,            0.007624,            0.007624,            0.007624
                  26,            0.026106,            0.012658,            0.004153,             0.95094,              0.9766,             0.96989,             0.78865,            0.014252,           0.0052524,           0.0019042,            0.007525,            0.007525,            0.007525
                  27,            0.025127,            0.012239,           0.0033823,             0.89766,             0.95325,             0.97405,             0.75591,            0.018062,            0.005702,           0.0021051,            0.007426,            0.007426,            0.007426
                  28,            0.025593,            0.012425,           0.0034443,             0.93176,             0.98327,             0.99223,             0.82896,             0.01627,           0.0054841,           0.0020692,            0.007327,            0.007327,            0.007327
                  29,            0.025476,            0.012727,           0.0030936,             0.95109,              0.9799,             0.98951,             0.84823,            0.015088,            0.005209,           0.0016307,            0.007228,            0.007228,            0.007228
                  30,            0.025953,            0.012656,           0.0047825,             0.96104,             0.98182,             0.99223,             0.81802,            0.018616,           0.0051117,            0.001323,            0.007129,            0.007129,            0.007129
                  31,            0.025934,            0.012073,           0.0032467,             0.96079,             0.98253,              0.9935,             0.76498,            0.017286,           0.0051835,           0.0015097,             0.00703,             0.00703,             0.00703
                  32,            0.024762,            0.011775,           0.0027972,             0.96648,             0.96464,             0.98219,             0.81173,            0.016893,            0.005471,           0.0014786,            0.006931,            0.006931,            0.006931
                  33,            0.024612,            0.012008,           0.0025708,             0.93798,             0.98182,             0.99114,              0.8597,            0.014348,           0.0050557,           0.0013955,            0.006832,            0.006832,            0.006832
                  34,            0.024438,            0.012363,           0.0020474,             0.95063,             0.96364,             0.98856,             0.79937,            0.015651,            0.005209,           0.0012422,            0.006733,            0.006733,            0.006733
                  35,             0.02392,            0.011476,           0.0023246,             0.95569,             0.94545,             0.97203,             0.80374,            0.013964,           0.0057204,           0.0013991,            0.006634,            0.006634,            0.006634
                  36,            0.024072,            0.012451,           0.0026473,             0.92897,             0.95987,             0.98066,             0.78606,            0.016441,           0.0052752,           0.0014197,            0.006535,            0.006535,            0.006535
                  37,            0.022569,            0.011308,           0.0026281,             0.94107,                   1,               0.995,             0.85856,              0.0148,            0.005033,           0.0014634,            0.006436,            0.006436,            0.006436
                  38,            0.022686,            0.011712,           0.0033008,             0.93903,              0.9612,             0.98814,             0.83645,            0.013721,            0.005306,           0.0014922,            0.006337,            0.006337,            0.006337
                  39,            0.023194,            0.011983,           0.0023697,             0.95108,             0.99391,              0.9935,             0.84722,            0.013117,           0.0052776,           0.0012712,            0.006238,            0.006238,            0.006238
                  40,            0.022685,            0.012138,           0.0023635,             0.93866,                   1,             0.98514,             0.85485,            0.013965,            0.005234,           0.0011292,            0.006139,            0.006139,            0.006139
                  41,            0.022408,            0.012278,           0.0023806,             0.92008,             0.97796,             0.99114,             0.85574,             0.01199,           0.0052681,            0.001261,             0.00604,             0.00604,             0.00604
                  42,            0.022639,            0.011251,           0.0022296,             0.92573,             0.99131,             0.98787,              0.8706,            0.014446,           0.0052266,           0.0012979,            0.005941,            0.005941,            0.005941
                  43,             0.02207,            0.011373,           0.0026266,             0.95804,             0.98182,             0.98951,             0.85457,             0.01475,           0.0049932,           0.0012127,            0.005842,            0.005842,            0.005842
                  44,            0.021277,            0.010793,           0.0024239,             0.93477,             0.95883,             0.99223,              0.8724,            0.011376,           0.0049453,           0.0010988,            0.005743,            0.005743,            0.005743
                  45,            0.021376,            0.010684,            0.003353,             0.95648,             0.93006,               0.987,             0.86934,            0.010496,           0.0047696,           0.0011014,            0.005644,            0.005644,            0.005644
                  46,            0.021439,            0.011787,           0.0023644,             0.98303,             0.93638,             0.99223,             0.86513,            0.012533,           0.0047464,            0.001058,            0.005545,            0.005545,            0.005545
                  47,            0.021618,            0.011023,           0.0019289,             0.97358,             0.96364,             0.98019,             0.82952,            0.013966,           0.0049312,          0.00097802,            0.005446,            0.005446,            0.005446
                  48,             0.02065,            0.011421,           0.0019459,             0.93771,             0.96825,             0.97605,             0.87565,            0.011479,           0.0050433,           0.0010229,            0.005347,            0.005347,            0.005347
                  49,             0.02109,            0.010254,           0.0020985,             0.97057,             0.94462,             0.99114,             0.84406,            0.013012,           0.0047665,           0.0010434,            0.005248,            0.005248,            0.005248
                  50,            0.020602,            0.010376,           0.0019418,             0.96204,             0.94255,              0.9902,             0.83667,            0.012786,           0.0053682,          0.00097963,            0.005149,            0.005149,            0.005149
                  51,            0.020519,            0.010665,           0.0027641,             0.96654,             0.95339,             0.99114,             0.88014,            0.014422,           0.0045695,           0.0012061,             0.00505,             0.00505,             0.00505
                  52,            0.020003,            0.010678,           0.0018712,              0.9809,             0.93749,             0.99114,             0.87983,            0.011772,           0.0048394,           0.0010754,            0.004951,            0.004951,            0.004951
                  53,            0.019451,            0.010207,           0.0018509,             0.97817,             0.92891,              0.9791,             0.86036,             0.01062,           0.0051627,          0.00087786,            0.004852,            0.004852,            0.004852
                  54,            0.019767,            0.010296,           0.0017289,             0.97251,             0.95022,             0.99223,             0.89382,            0.010852,           0.0042632,          0.00079072,            0.004753,            0.004753,            0.004753
                  55,            0.019259,            0.010331,           0.0019504,             0.95128,             0.99402,              0.9935,             0.87492,            0.012837,           0.0043771,          0.00087529,            0.004654,            0.004654,            0.004654
                  56,             0.01894,            0.010773,           0.0017751,             0.95481,              0.9846,               0.992,             0.86985,            0.011232,           0.0045111,          0.00089377,            0.004555,            0.004555,            0.004555
                  57,             0.01872,           0.0099974,           0.0015001,             0.97297,             0.92005,             0.97958,             0.87339,            0.012087,           0.0057282,          0.00085032,            0.004456,            0.004456,            0.004456
                  58,            0.018612,            0.010362,           0.0017502,             0.95646,             0.94844,             0.98951,              0.8994,           0.0084365,           0.0049527,          0.00079533,            0.004357,            0.004357,            0.004357
                  59,            0.018169,           0.0099478,           0.0017737,             0.98073,             0.91803,             0.99059,             0.90037,            0.010665,           0.0048792,          0.00076967,            0.004258,            0.004258,            0.004258
                  60,            0.018127,           0.0096898,            0.001279,             0.97818,             0.91737,               0.992,             0.89213,            0.010492,           0.0048485,           0.0007306,            0.004159,            0.004159,            0.004159
                  61,             0.01808,            0.010486,           0.0012046,              0.9694,             0.91364,             0.95533,              0.8499,            0.011049,           0.0049155,          0.00074884,             0.00406,             0.00406,             0.00406
                  62,            0.017691,           0.0096708,           0.0018146,             0.96967,             0.92653,             0.94658,              0.8707,            0.010526,           0.0047886,          0.00080606,            0.003961,            0.003961,            0.003961
                  63,            0.017595,           0.0090451,           0.0013785,             0.96618,              0.9443,              0.9935,             0.90243,             0.01023,           0.0043998,          0.00079888,            0.003862,            0.003862,            0.003862
                  64,            0.018539,            0.010202,           0.0018299,             0.96471,             0.98524,               0.995,             0.89522,            0.010253,           0.0044413,          0.00077146,            0.003763,            0.003763,            0.003763
                  65,            0.017639,            0.009437,           0.0013212,             0.95931,             0.97222,               0.992,             0.90682,           0.0096973,            0.004339,          0.00069174,            0.003664,            0.003664,            0.003664
                  66,            0.016616,           0.0092382,           0.0012798,             0.96315,             0.96681,              0.9905,             0.90202,           0.0098884,           0.0044672,           0.0006928,            0.003565,            0.003565,            0.003565
                  67,            0.017681,             0.01013,           0.0012903,             0.95888,              0.9851,               0.995,             0.90171,            0.008474,           0.0041306,          0.00066885,            0.003466,            0.003466,            0.003466
                  68,            0.016613,             0.00943,           0.0013935,             0.97898,              0.9389,              0.9935,             0.88142,           0.0099443,           0.0040379,          0.00064409,            0.003367,            0.003367,            0.003367
                  69,            0.017414,           0.0090281,           0.0015208,             0.97103,             0.93832,              0.9935,             0.91489,           0.0092745,           0.0041497,          0.00056748,            0.003268,            0.003268,            0.003268
                  70,            0.016578,           0.0092793,           0.0012832,             0.97408,              0.9396,              0.9935,             0.89908,           0.0099595,           0.0042858,          0.00056402,            0.003169,            0.003169,            0.003169
                  71,            0.016542,            0.009658,           0.0011244,              0.9649,             0.92141,               0.992,             0.90923,           0.0094048,           0.0046785,          0.00058691,             0.00307,             0.00307,             0.00307
                  72,            0.016257,           0.0090102,           0.0012894,             0.97259,             0.93196,             0.95259,             0.85379,           0.0096025,           0.0045495,          0.00063841,            0.002971,            0.002971,            0.002971
                  73,             0.01585,           0.0096266,           0.0011595,             0.87569,              0.9927,               0.992,              0.8991,           0.0083621,           0.0054665,          0.00056855,            0.002872,            0.002872,            0.002872
                  74,            0.016387,           0.0088744,          0.00091774,             0.95098,             0.94623,               0.992,              0.9108,           0.0084551,           0.0049586,          0.00055306,            0.002773,            0.002773,            0.002773
                  75,            0.015902,           0.0088647,          0.00096007,             0.96658,             0.95842,              0.9935,             0.91414,           0.0085126,           0.0042348,          0.00056942,            0.002674,            0.002674,            0.002674
                  76,            0.016551,           0.0091983,           0.0012808,              0.9754,             0.92618,              0.9515,             0.87001,           0.0084458,            0.004571,          0.00057001,            0.002575,            0.002575,            0.002575
                  77,            0.015951,           0.0090382,           0.0010352,             0.97187,             0.94108,              0.9935,              0.9048,           0.0088818,           0.0045371,          0.00056809,            0.002476,            0.002476,            0.002476
